
1421.92 43132 32 214225 93748 29961
1422.60 42077 8 325568 108614 29961
1423.28 41109 9 314532 111295 29961
1423.96 38970 9 310265 114853 29961
1424.61 38490 12 301459 110047 29961
1425.28 41664 11 298820 99474 29961
1426.01 37210 27 207379 90836 29674
1426.69 37527 27 198398 87047 29222
1427.38 38453 14 278068 94833 29222
1428.10 35417 16 265810 99946 29674
1428.82 33014 14 239836 99074 28935
1429.48 41500 10 300428 98715 29674
1430.35 34954 2 348122 129706 29674
1431.24 39249 21 236844 94940 29961
1432.08 35117 25 220504 88569 29961
1432.89 34969 22 230021 91607 28935
1433.78 40074 34 189351 84977 29674
1434.28 35073 33 182383 88757 29961
1434.81 34883 10 294592 106141 29961
1435.30 34197 14 261920 97446 29961
1435.76 36604 1 306858 125331 29674
1436.31 39106 12 263048 102342 29961
1447.67 37704 23 221228 83694 27898
1448.40 36783 22 229207 91139 28185
1449.11 33443 20 234057 92134 28847
1449.80 37655 10 272280 101020 28275
1450.41 33932 8 271052 95527 28361
1451.01 34156 17 221710 85619 27427
1451.64 31976 1 332030 118956 28785
1452.19 31945 10 281953 99493 29961
1452.85 31568 7 260438 90385 28697
1453.57 31114 7 249063 94139 28108
1454.27 30509 3 276865 85717 28018
1454.98 35532 20 250215 82108 29299
1455.70 32426 11 235745 80851 27356
1456.38 34880 13 242530 80486 28005
1457.08 36941 13 229061 75634 25687
1457.84 35717 15 196608 76573 24303
1458.47 36900 30 165147 72116 25687
1459.02 31950 30 151172 63174 24582
1459.48 29016 7 208971 78892 25130
1460.00 28257 7 225851 77064 25417
1460.55 28740 6 246719 89137 24393
1461.12 30910 11 235042 83541 23039
1461.66 33033 20 209743 77604 25417
1462.19 33288 23 204716 80556 24303
1462.78 30428 19 216791 79511 26769
1463.42 36928 21 213492 78054 26454
1464.12 34264 24 194939 81467 27403
1464.81 30599 28 166629 73376 26289
1465.43 31896 27 164278 73467 26861
1466.08 31316 24 178116 82711 28125
1466.72 30650 28 161411 63305 28155
1467.33 28661 29 134789 67943 26861
1467.90 32160 15 173774 66937 26289
1468.46 29206 14 178323 75065 25025
1469.01 30314 33 127057 57237 27493
1469.58 28731 28 146683 60849 26951
1470.14 28691 28 143269 62882 28637
1470.70 30612 30 150180 64944 28035
1471.28 29098 12 210119 87511 27493
1471.86 31549 22 176879 74674 28185
1472.49 31533 27 177156 66897 23829
1473.10 30520 23 177776 70541 25175
1473.75 33794 18 188546 66515 25627
1474.42 31958 15 209905 82643 25025
1475.15 36913 16 248670 86753 28005
1475.87 35163 23 253399 89534 29449
1476.50 34972 18 240417 88535 29449
1477.12 37523 15 263733 91110 29299
1477.79 39439 18 268616 93125 29329
1478.47 34432 7 312002 100619 29961
1479.31 34396 1 353601 127756 29961
1480.19 38312 20 271933 96648 29329
1481.08 36973 21 259004 90184 28275
1481.94 37502 21 241026 89556 29449
1482.78 35621 26 217925 88889 28530
1483.58 34085 24 222040 91807 29222
1484.27 35372 17 239454 85305 27733
1484.94 33165 26 187905 74102 27457
1485.42 25681 2 145202 66613 16214
1486.07 26908 5 186324 77773 24059
1486.40 22888 6 102428 45740 13525
1486.69 18918 0 38459 13931 4879
1487.01 23857 6 122665 50682 20732
1487.41 24209 2 161809 66496 22373
1487.84 26091 6 132096 56075 20265
1488.31 19947 1 40346 18331 6471
1488.69 18217 0 12168 8679 3084
1488.91 18480 0 23398 12147 3600
1489.17 18543 0 19304 9289 2302
1489.41 19443 4 25564 13339 5809
1489.66 19236 3 22107 11101 4890
1489.89 22679 4 34933 16068 6981
1490.26 23936 3 115859 49062 17163
1490.86 22141 2 100104 36034 15325
1491.31 28056 3 88260 37717 13817
1491.65 25866 8 142733 56194 20488
1491.99 25316 1 186695 89270 26165
1492.34 29173 1 226227 95238 26709
1492.71 29575 9 188112 74693 26649
1493.16 26414 4 122498 52778 18472
1493.67 20340 1 60468 25323 13532
1494.14 24206 4 126875 50830 20278
1494.53 22396 4 67352 33524 11936
1495.31 23106 3 76449 39527 12823
1496.02 20900 0 77115 34230 9453
1496.77 28757 5 180268 67001 23093
1497.10 28512 2 156297 71306 22598
1497.44 24260 5 143809 58517 21441
